title_id,genre,sort_code,weekdays,length,subscribers,rating,views,likes,status,daily_pass,title,authors,synopsis,weekdays_all,sort_code_likes,sort_code_subscribers,sort_code_rating,sort_code_views
2467,ROMANCE,57,SUNDAY,60,280286,8.02,10025622,1251832,ONGOING,FALSE,There's Love Hidden in Lies,Kawai Aporo,"There??s nothing worse than having the guy you??ve secretly crushed on for ten years say you??re like his mom. When Natsume Mishima is given a chance to be in a fake relationship with Chikage, the hottest guy in her class to make her crush Yuuki jealous, she takes it -- even though she hates lying. Will this web of lies get her the guy she wants?",SUNDAY,57,64,145,65
3164,FANTASY,56,SUNDAY,34,417350,9.72,9726763,1282579,ONGOING,FALSE,From a Knight to a Lady,"Ink.,Hyerim Sung","Estelle meets her untimely death as a valiant knight of the Kingdom of Ersha. But death is not the end for Estelle -- three years after her demise, she finds herself reincarnated in the body of Lucifela Aydin, the spoiled and cold-hearted daughter of a count in the Empire of Jansgar. To her dismay, she finds that her country fell to Jansgar years ago, and that she is now betrothed to Zedekiah Heint, the son of a duke and her adversary in her previous life. Can Estelle discover the truth behind her death while attempting to navigate her new life as Lucifela?",SUNDAY,56,41,41,66
3788,FANTASY,58,SUNDAY,7,808384,9.73,9723375,1216640,ONGOING,FALSE,WEBTOON x BTS,WEBTOON," ??At that moment... I was drawn to an unknown force.??As we wait for the series premiere of 7FATES: CHAKHO, check out these teaser episodes that will drop each day for every member, starting on Christmas!","MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY",58,18,39,67
2505,DRAMA,62,SUNDAY,10,219439,9.78,9689079,1116645,COMPLETED,TRUE,Dark Mortal,Jeonyeok Lee,"Being called a freak isn??t so bad when you have a spunky little black blob as a companion. An explosion leaves Nam Kang orphaned, scarred, and nearly blind, but he toughs out the daily bullying with the help of his imaginary blob friend, Inky. Until one day, Nam wakes from a bad beating to find his scars healed and his vision restored. At a new school, Nam is finally given the chance to live life as a normal kid. But it isn??t just his scars that have disappeared. His best friend Inky is gone, too.","MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY",62,73,23,68
638,FANTASY,112,SUNDAY,35,209176,8.73,9643857,299966,COMPLETED,FALSE,Helios Femina,Michelle Phan,"With no knowledge of her birthright, Rhea Oribel, a young songstress of celestial origin, awakens her true calling. ",SUNDAY,112,78,134,69
401,SLICE_OF_LIFE,85,SUNDAY,170,72722,9.28,9419003,584306,COMPLETED,FALSE,Average Adventures of an Average Girl,lallirrr,"Average Adventures of an Average Girl is a webcomic that talks about bad luck, a little bit of daydreaming and a lot of personal (and weird) daily experiences seen from the eyes of young wanna-be artist! If something can go wrong, it will go wrong. But it will make a great story",SUNDAY,85,127,112,70
2141,THRILLER,81,SUNDAY,11,196171,7.84,9400721,650471,COMPLETED,TRUE,Ctrl+Z,MiTi,"What if you had the power to erase people's memories? Would you use it to help those in need? Or would you use it to become the most powerful person in the world? For Kyle, this newfound power was going to change his life... for better or for worse.","MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY",81,80,147,71
2564,ROMANCE,63,SUNDAY,7,321366,9.7,9158462,1098304,COMPLETED,TRUE,Her Bucket List,"Yellow sheep,So-p","Rari??s entire world falls apart when her boyfriend dies. Overwhelmed with the pain of losing the love of her life, she decides to go through the bucket list they made together before joining him in death. Things take an unexpected turn when fate links her to Hansol, her neighbor who has a painful story of his own. The two embark on a journey to heal their wounds and learn there is more to life than trauma and heartbreak.","MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY",63,58,45,72
522,SUPERNATURAL,86,SUNDAY,124,84071,7.99,8832378,584173,COMPLETED,FALSE,Faust,Arechan,"Your soul is the most valuable asset you own, and even if you don't want it, there are others who will gladly take it off your hands. This could happen to anyone, but we will follow the story of Gabriel, a young adult who, in his darkest hour, may have found a good use for the soul he didn't want any longer.",SUNDAY,86,119,146,73
2765,ROMANCE,55,SUNDAY,47,282651,9.75,8533766,1368477,ONGOING,FALSE,Half-Ghost,Sejung,"Can she see them or not? Hayeon has always felt something creepy near her. She knows ghosts exist, but she can??t really see them. She suddenly meets a boy who not only sees them but fights with them? Hu-an Lee isn??t your average student. He??s a half-ghost. He knows there??s something different about Hayeon, but he can??t seem to figure out what. No one can. Human or ghosts!",SUNDAY,55,63,34,74
